Job Title,Company,Location
Pre-Primary Teacher,Pre-Primary Teacher,"Jorpati, Narayantar, Kathmandu"
Primary Level Teachers,Primary Level Teachers,"Jorpati, Narayantar, Kathmandu"
Primary level Teacher,Primary level Teacher,"Sipadol-08, Bhaktapur"
Secondary School Teacher,Secondary School Teacher,"Sipadol-8, Bhaktapur"
HR & Finance Administrator,HR & Finance Administrator,Lalitpur
Admin and Finance Officer,Admin and Finance Officer,Patarasi Rural Municipality
MIS Officer,MIS Officer,"Mid-Baneshwor, Kathmandu"
Communication Officer,Communication Officer,"Mid Baneshwor, Kathmandu"
Marketing Manager / Head,Marketing Manager / Head,"Madhyapur Thimi, Bhaktapur"
Digital Marketing Manager,Digital Marketing Manager,"Madhyapur Thimi, Bhaktapur"
Support Manager,Support Manager,"Madhyapur Thimi, Bhaktapur"
Operational Manager,Operational Manager,"Kamaladi, Kathmandu"
On-Trade Manager ( Night Shift),On-Trade Manager ( Night Shift),"Kamaladi, Kathmandu"
Video Editor,Video Editor,Battisputali
Assistant Teacher Grade I - II,Assistant Teacher Grade I - II,"Opposite to Balaju Bhatbhateni, Binayak Basti, Kathmandu"
Secondary Level Science Teacher,Secondary Level Science Teacher,"Opposite to Balaju Bhatbhateni, Binayak Basti, Kathmandu"
Teachers for Grade I-III,Teachers for Grade I-III,"Opposite to Balaju Bhatbhateni, Binayak Basti, Kathmandu"
Secondary Level Optional Mathematics Teacher,Secondary Level Optional Mathematics Teacher,"Opposite to Balaju Bhatbhateni, Binayak Basti, Kathmandu"
Lower Secondary Science Teachers (IV - VII),Lower Secondary Science Teachers (IV - VII),"Opposite to Balaju Bhatbhateni, Binayak Basti, Kathmandu"
Vice Principal,Vice Principal,"Dhangadhi, Nepal"
Software Engineer (SDE-2) - Product Engineering,Software Engineer (SDE-2) - Product Engineering,Hybrid
AI Product Manager - Product & Platform Engineering,AI Product Manager - Product & Platform Engineering,Kathmandu
Staff Product Designer - Product & Platform Engineering,Staff Product Designer - Product & Platform Engineering,Hybrid
